ID,name,name_brief,LABEL,weight
769,北京市商务局,北京市商务...,机构,nan
390,北京市园林绿化局,北京市园林...,机构,nan
7,天津海关,天津海关...,机构,nan
1147,北京市城市管理综合行政执法局,北京市城市...,机构,nan
1931,国家税务总局北京市税务局,国家税务总...,机构,nan
2060,北京市人民政府国有资产监督管理委员会,北京市人民...,机构,nan
1176,中国人民银行营业管理部,中国人民银...,机构,nan
414,北京市医疗保障局,北京市医疗...,机构,nan
34,北京市公安局,北京市公安...,机构,nan
165,北京市国家税务局,北京市国家...,机构,nan
1705,北京市政务服务管理局,北京市政务...,机构,nan
2089,北京市民政局,北京市民政...,机构,nan
44,天津市港航管理局,天津市港航...,机构,nan
1069,北京市文物局,北京市文物...,机构,nan
2354,中关村科技园区管理委员会,中关村科技...,机构,nan
1843,北京市工商行政管理局,北京市工商...,机构,nan
1205,北京市人民防空办公室,北京市人民...,机构,nan
1590,北京市人力资源和社会保障局,北京市人力...,机构,nan
823,北京市大兴区人民政府,北京市大兴...,机构,nan
311,北京市档案局,北京市档案...,机构,nan
2106,北京天竺综合保税区管理委员会,北京天竺综...,机构,nan
1980,北京海关,北京海关...,机构,nan
69,北京市规划和国土资源管理委员会,北京市规划...,机构,nan
1606,北京市地方税务局,北京市地方...,机构,nan
583,财政部,财政部...,机构,nan
1737,北京市水务局,北京市水务...,机构,nan
1738,交通运输部,交通运输部...,机构,nan
971,北京市市场监督管理局,北京市市场...,机构,nan
1233,中国人民银行,中国人民银...,机构,nan
852,北京市住房和城乡建设委员会,北京市住房...,机构,nan
981,国家税务总局,国家税务总...,机构,nan
1237,海关总署,海关总署...,机构,nan
1629,北京市人民代表大会常务委员会,北京市人民...,机构,nan
998,北京市审计局,北京市审计...,机构,nan
103,北京市教育委员会,北京市教育...,机构,nan
747,北京市第一中级人民法院,北京市第一...,机构,nan
2157,北京市生态环境局,北京市生态...,机构,nan
1658,国家发展和改革委员会,国家发展和...,机构,nan
507,商务部,商务部...,机构,nan
1149,北京市人民政府行政审批制度改革办公室,北京市人民...,机构,nan
