ID,name,name_brief,LABEL,主题分类,实施日期,成文日期,发文字号,废止日期,发布日期,有效性,文件来源
535,北京市城市管理委员会关于修订《北京电网供电可靠性管制工作细则(试行)》的通知,北京市城市...,文件,国土资源、能源/电力,----,2020-04-09,京管发〔2020〕10号,----,2020-04-09,有效,政府公报 年 第期(总第期)
2087,北京市市场监督管理局 北京市人民政府行政审批制度改革办公室关于印发《北京市市场主体登记告知承诺制度实施意见(试行)》的通知,北京市市场...,文件,市场监管、安全生产监管/其他,2020-04-28,2020-04-26,京市监发〔2020〕50号,2022-04-27,2020-04-28,有效,政府公报 2020年 第23期(总第659期)
1085,北京市城市管理委员会 北京市规划和国土资源管理委员会 北京市住房和城乡建设委员会 北京市水务局 北京市园林绿化局 北京市交通委员会路政局 北京市公安局公安交通管理局关于北京市进一步优化电、水、气、热接入营商环境的意见(试行),北京市城市...,文件,国土资源、能源/其他,----,2018-03-16,京管发〔2018〕31号,----,2018-03-18,有效,政府公报 2018年 第11期(总第551期)
2118,关于推广应用北京市冷链食品追溯平台的通告,关于推广应...,文件,市场监管、安全生产监管/食品药品监管,2020-11-01,2020-10-26,----,----,2020-10-26,有效,政府公报 年 第期(总第期)
2120,北京市城市管理委员会 北京市交通委员会路政局 北京市公安局公安交通管理局关于做好涉及占掘路审批的低压电力接入工程优化营商环境有关工作的通知,北京市城市...,文件,经济、交通/其他,----,2018-04-10,京管函〔2018〕125号,----,2018-04-26,有效,政府公报 2018年 第18期(总第558期)
1619,北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于提高企业开办效率的通告,北京市市场...,文件,商贸、海关、旅游/其他,2019-03-20,2019-04-03,通告〔2019〕10号,----,2019-04-03,有效,政府公报 年 第期(总第期)
1634,北京市住房和城乡建设委员会 北京市人才工作领导小组办公室 北京市发展和改革委员会 北京市财政局 北京市人力资源和社会保障局 北京市规划和国土资源管理委员会关于优化住房支持政策服务保障人才发展的意见,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,2018-07-17,2018-07-17,京建法〔2018〕13号,----,2018-07-17,有效,政府公报 2018年 第32期(总第572期)
1131,北京市城市管理委员会 北京市规划和国土资源管理委员会 北京市住房和城乡建设委员会 北京市园林绿化局 北京市交通委员会路政局 北京市公安局公安交通管理局关于北京市进一步优化电力接入营商环境的意见,北京市城市...,文件,国土资源、能源/电力,----,2018-05-07,​京管发〔2018〕54号,----,2018-06-12,有效,政府公报 2018年 第22期(总第562期)
623,北京市住房和城乡建设委员会关于做好社会投资简易低风险工程建设项目建筑工程施工许可有关问题的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,2019-12-09,2019-12-09,京建发〔2019〕434号,----,2019-12-09,有效,政府公报 年 第期(总第期)
2182,优化营商环境更好服务市场主体工作方案,优化营商环...,文件,市场监管、安全生产监管/其他,----,2021-04-28,京市监发〔2021〕31号,----,2021-04-28,有效,政府公报 年 第期(总第期)
146,北京市住房和城乡建设委员会关于加强和规范全市建筑工程施工许可审批事中事后监管的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,2019-12-09,2019-12-09,京建发〔2019〕435号,----,2019-12-09,有效,政府公报 年 第期(总第期)
672,北京市城市管理委员会关于印发《北京电网供电可靠性管制工作细则(试行)》的通知,北京市城市...,文件,国土资源、能源/电力,----,2020-02-21,京管发〔2020〕3号,----,2020-02-25,有效,政府公报 年 第期(总第期)
2216,北京市住房和城乡建设委员会关于进一步明确简易低风险工程建设项目施工期间质量安全监督检查工作的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,----,2020-02-20,京建发〔2020〕43号,----,2020-02-20,有效,政府公报 年 第期(总第期)
2234,北京市市场监督管理局关于印发进一步推进市场主体登记便利化优化营商环境实施办法的通知,北京市市场...,文件,市场监管、安全生产监管/其他,2020-04-28,2020-04-24,京市监发〔2020〕49号,----,2020-04-27,有效,政府公报 2020年 第23期(总第659期)
3268,北京市住房和城乡建设委员会关于进一步落实简易低风险工程质量安全监督检查要求的通知,北京市住房...,文件,城乡建设、环境保护/城乡建设（含住房）,----,2020-03-09,京建便函〔2020〕271号,----,2020-03-09,有效,政府公报 年 第期(总第期)
