Source,Target,Label,weight
1829,2085,总结性措施,5.9412
1829,371,描述性措施,4.9412
1829,1230,描述性措施,5.4910
1873,3678,描述性措施,0.2512
2087,2256,描述性措施,0.1770
2087,1950,描述性措施,0.5194
2087,2516,描述性措施,0.4505
2087,394,描述性措施,0.2464
2087,3013,描述性措施,0.5148
2087,2621,描述性措施,0.1428
2087,3678,描述性措施,0.2512
2087,2900,描述性措施,0.2693
2087,621,描述性措施,0.1635
2087,1749,描述性措施,0.3359
2087,3100,描述性措施,0.3463
2087,1129,描述性措施,0.0934
2087,3202,描述性措施,0.3360
1764,2633,总结性措施,1.0877
2633,586,描述性措施,0.1398
2633,2667,描述性措施,1.0793
2633,59,描述性措施,0.3201
2633,3577,描述性措施,0.2737
2633,2022,描述性措施,0.0793
1764,828,总结性措施,0.1269
1764,2404,总结性措施,0.0877
1764,2108,总结性措施,0.1218
2108,3453,描述性措施,0.2120
3435,1125,描述性措施,1.0719
3435,2187,描述性措施,1.2157
3435,815,总结性措施,1.2636
815,42,描述性措施,0.4900
815,3174,描述性措施,0.4319
815,3346,描述性措施,0.3065
815,3011,描述性措施,0.2157
3435,3327,总结性措施,0.5465
3327,3252,描述性措施,0.2967
3327,3097,描述性措施,0.3278
3435,1918,总结性措施,0.7736
1918,2918,描述性措施,0.3364
1918,1063,描述性措施,0.5477
3435,1761,总结性措施,1.5465
1761,504,描述性措施,0.9942
1761,1577,描述性措施,0.7732
3435,938,总结性措施,0.6493
938,1595,描述性措施,0.7421
3435,1086,总结性措施,0.7599
1086,2283,描述性措施,0.4609
1086,3754,描述性措施,0.4075
3435,3597,总结性措施,0.5930
3597,2909,描述性措施,0.6777
3435,2139,总结性措施,0.6213
2139,1077,描述性措施,0.3989
2139,2326,描述性措施,0.3112
2234,621,描述性措施,0.1635
3286,2256,描述性措施,0.1770
3286,1950,描述性措施,0.5194
3286,2516,描述性措施,0.4505
3286,394,描述性措施,0.2464
3286,621,描述性措施,0.1635
3286,1129,描述性措施,0.0934
971,2182,发布,nan
971,2118,发布,nan
981,1320,发布,nan
971,2258,发布,nan
971,1829,发布,nan
852,1634,发布,nan
852,429,发布,nan
852,3403,发布,nan
852,623,发布,nan
852,146,发布,nan
852,2843,发布,nan
852,1873,发布,nan
852,3366,发布,nan
852,2216,发布,nan
852,3268,发布,nan
2777,2120,发布,nan
2777,1820,发布,nan
2777,1131,发布,nan
2777,1085,发布,nan
2777,535,发布,nan
2777,672,发布,nan
2777,1430,发布,nan
971,2883,发布,nan
971,2087,发布,nan
971,1764,发布,nan
971,3354,发布,nan
971,1619,发布,nan
971,3435,发布,nan
971,2234,发布,nan
971,3286,发布,nan
971,1443,发布,nan
852,3464,发布,nan
981,430,发布,nan
1705,1176,联合发文,nan
3614,971,联合发文,nan
2876,1931,联合发文,nan
769,3534,联合发文,nan
852,971,联合发文,nan
2157,3534,联合发文,nan
971,1590,联合发文,nan
3534,971,联合发文,nan
769,1931,联合发文,nan
971,3534,联合发文,nan
1980,1590,联合发文,nan
1149,583,联合发文,nan
1658,1237,联合发文,nan
769,1590,联合发文,nan
2876,1980,联合发文,nan
1931,1237,联合发文,nan
3615,3534,联合发文,nan
852,1737,联合发文,nan
2838,2702,联合发文,nan
769,3663,联合发文,nan
1705,1590,联合发文,nan
2777,69,联合发文,nan
2777,1705,联合发文,nan
3534,2876,联合发文,nan
2157,1590,联合发文,nan
414,852,联合发文,nan
2777,852,联合发文,nan
971,769,联合发文,nan
1590,1931,联合发文,nan
971,1658,联合发文,nan
852,2689,联合发文,nan
769,1658,联合发文,nan
1980,2423,联合发文,nan
3534,1590,联合发文,nan
769,1705,联合发文,nan
971,583,联合发文,nan
3534,852,联合发文,nan
3614,852,联合发文,nan
414,1931,联合发文,nan
769,583,联合发文,nan
971,1980,联合发文,nan
2157,1176,联合发文,nan
971,1176,联合发文,nan
2777,1176,联合发文,nan
2777,2702,联合发文,nan
852,1205,联合发文,nan
3615,1590,联合发文,nan
852,2777,联合发文,nan
1705,971,联合发文,nan
2423,1705,联合发文,nan
852,2876,联合发文,nan
2876,2423,联合发文,nan
1590,583,联合发文,nan
2423,3614,联合发文,nan
3614,1590,联合发文,nan
2876,1737,联合发文,nan
2157,971,联合发文,nan
2157,2423,联合发文,nan
1737,1176,联合发文,nan
1590,852,联合发文,nan
769,1980,联合发文,nan
1147,1658,联合发文,nan
2423,1737,联合发文,nan
1590,769,联合发文,nan
1147,3663,联合发文,nan
1737,971,联合发文,nan
2423,1205,联合发文,nan
2876,2838,联合发文,nan
2423,3534,联合发文,nan
1705,1931,联合发文,nan
3615,1176,联合发文,nan
3614,1176,联合发文,nan
971,3663,联合发文,nan
3614,2423,联合发文,nan
3614,1931,联合发文,nan
1590,2876,联合发文,nan
1980,971,联合发文,nan
1980,1176,联合发文,nan
1590,1658,联合发文,nan
2531,1931,联合发文,nan
852,1705,联合发文,nan
971,1931,联合发文,nan
1980,852,联合发文,nan
981,769,联合发文,nan
3615,971,联合发文,nan
1590,971,联合发文,nan
1149,1658,联合发文,nan
1980,1931,联合发文,nan
2777,2423,联合发文,nan
981,1237,联合发文,nan
1737,3534,联合发文,nan
852,2838,联合发文,nan
3534,1931,联合发文,nan
852,2423,联合发文,nan
1147,583,联合发文,nan
852,311,联合发文,nan
1737,1590,联合发文,nan
2157,1931,联合发文,nan
1737,1931,联合发文,nan
769,1176,联合发文,nan
1149,3663,联合发文,nan
3615,1931,联合发文,nan
2838,2423,联合发文,nan
1590,3663,联合发文,nan
2423,852,联合发文,nan
2531,852,联合发文,nan
971,1705,联合发文,nan
2876,2777,联合发文,nan
1705,3534,联合发文,nan
2838,769,联合发文,nan
2423,2876,联合发文,nan
2423,1931,联合发文,nan
2777,2838,联合发文,nan
2423,2157,联合发文,nan
