n
"{""name"":天津海关,""entity"":7}"
"{""name"":北京市公安局,""entity"":34}"
"{""name"":天津市港航管理局,""entity"":44}"
"{""name"":北京市规划和国土资源管理委员会,""entity"":69}"
"{""name"":北京市教育委员会,""entity"":103}"
"{""name"":北京市国家税务局,""entity"":165}"
"{""name"":北京市档案局,""entity"":311}"
"{""name"":北京市园林绿化局,""entity"":390}"
"{""name"":北京市医疗保障局,""entity"":414}"
"{""name"":商务部,""entity"":507}"
"{""name"":财政部,""entity"":583}"
"{""name"":北京市第一中级人民法院,""entity"":747}"
"{""name"":北京市商务局,""entity"":769}"
"{""name"":北京市大兴区人民政府,""entity"":823}"
"{""name"":北京市住房和城乡建设委员会,""entity"":852}"
"{""name"":北京市市场监督管理局,""entity"":971}"
"{""name"":国家税务总局,""entity"":981}"
"{""name"":北京市审计局,""entity"":998}"
"{""name"":北京市文物局,""entity"":1069}"
"{""name"":北京市城市管理综合行政执法局,""entity"":1147}"
"{""name"":北京市人民政府行政审批制度改革办公室,""entity"":1149}"
"{""name"":中国人民银行营业管理部,""entity"":1176}"
"{""name"":北京市人民防空办公室,""entity"":1205}"
"{""name"":中国人民银行,""entity"":1233}"
"{""name"":海关总署,""entity"":1237}"
"{""name"":北京市人力资源和社会保障局,""entity"":1590}"
"{""name"":北京市地方税务局,""entity"":1606}"
"{""name"":北京市人民代表大会常务委员会,""entity"":1629}"
"{""name"":国家发展和改革委员会,""entity"":1658}"
"{""name"":北京市政务服务管理局,""entity"":1705}"
"{""name"":北京市水务局,""entity"":1737}"
"{""name"":交通运输部,""entity"":1738}"
"{""name"":北京市工商行政管理局,""entity"":1843}"
"{""name"":国家税务总局北京市税务局,""entity"":1931}"
"{""name"":北京海关,""entity"":1980}"
"{""name"":北京市人民政府国有资产监督管理委员会,""entity"":2060}"
"{""name"":北京市民政局,""entity"":2089}"
"{""name"":北京天竺综合保税区管理委员会,""entity"":2106}"
"{""name"":北京市生态环境局,""entity"":2157}"
"{""name"":中关村科技园区管理委员会,""entity"":2354}"
