entity:ID,name,:LABEL,主题分类,实施日期,成文日期,发文字号,废止日期,发布日期,有效性,文件来源
44,北京市高级人民法院关于印发《北京市高级人民法院对外委托专业机构鉴定评估工作考核评价办法(试行)》的通知,文件,公安、安全、司法/司法,2020-03-20,2020-03-20,京高法发〔2020〕121号,----,2020-03-20,有效,政府公报 年 第期(总第期)
86,关于深化京津口岸营商环境改革进一步促进跨境贸易便利化若干措施的公告,文件,商贸、海关、旅游/海关,----,2020-04-03,京津联合公告第7号,----,2020-05-06,有效,政府公报 2020年 第31期(总第667期)
94,国家口岸管理办公室关于“单一窗口”标准版报关单信息、舱单运抵报告状态订阅推送功能推广应用的通知,文件,商贸、海关、旅游/其他,2020-04-01,2020-03-26,国岸函〔2020〕20号,----,2020-03-26,有效,政府公报 年 第期(总第期)
161,北京市规划和自然资源委员会 北京市高级人民法院关于使用电子政务邮箱交换北京市法院法律文书并办理不动产查封登记的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2019-12-06,京规自发〔2019〕449号,----,2019-12-06,----,政府公报 年 第期(总第期)
162,北京市地方金融监督管理局 中国人民银行营业管理部 中国银行保险监督管理委员会北京监管局关于印发《深化金融供给侧改革 持续优化金融信贷营商环境的意见》的通知,文件,商贸、海关、旅游/其他,----,2019-04-11,----,----,2019-04-12,有效,政府公报 年 第期(总第期)
172,北京市规划和自然资源委员会 中国银行保险监督管理委员会北京监管局 北京住房公积金管理中心关于全面开展网上办理抵押权登记的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2020-02-03,京规自发〔2020〕19号,----,2020-02-03,有效,政府公报 年 第期(总第期)
180,关于持医保电子凭证就医结算流程有关问题的通知,文件,医疗健康,2021-01-01,2020-12-24,京医保中心发〔2020〕90号,----,2020-12-24,有效,政府公报 年 第期(总第期)
183,北京市发展和改革委员会关于做好电价政策公布有关工作的通知,文件,国民经济、国有资产监管/价格,----,2019-02-27,京发改〔2019〕249号,----,2019-02-27,有效,政府公报 年 第期(总第期)
290,北京市规划和自然资源委员会关于严格执行综合窗口业务办理标准持续优化不动产登记领域营商环境的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2020-01-21,京规自发〔2020〕16号,----,2020-01-21,有效,政府公报 年 第期(总第期)
302,国家税务总局北京市税务局关于开展纳税服务提醒、税收风险更正提示有关事项的通知,文件,财政、金融、审计/税务,----,2019-08-14,----,----,2019-08-14,有效,政府公报 年 第期(总第期)
413,北京市规划和自然资源委员会关于“区块链+不动产登记”应用场景上线的通知,文件,城乡建设、环境保护/城乡建设（含住房）,----,2020-02-07,京规自发〔2020〕28号,----,2020-02-07,有效,政府公报 年 第期(总第期)
449,北京市城市管理委员会关于优化营商环境全面提高服务质量的通知,文件,城乡建设、环境保护/节能与资源综合利用,----,2018-03-16,京管函〔2018〕95号,----,2018-03-18,有效,政府公报 年 第期(总第期)
466,北京市地方税务局关于发布《办税事项“最多跑一次”清单》的公告,文件,财政、金融、审计/税务,2018-04-01,2018-03-20,2018年第1号,----,2018-04-03,有效,政府公报 2018年 第11期(总第551期)
