文本框值,字段2,字段3,字段5
商务部,"
中华人民共和国商务部
",中华人民共和国商务部是主管我国国内外贸易和国际经济合作的国务院组成部门，承担制订和实施我国国内外经济贸易政策、推进扩大对外开放的重要职责。,"

中文名

中华人民共和国商务部

外文名

Ministry of Commerce of the People's Republic

办公地址

北京东长安街2号
[22] 


性    质

国务院组成部门

隶属于

中华人民共和国国务院

部    长

王文涛
[8] 

"
北京市交通委员会,,根据中共中央、国务院批准的北京市人民政府机构改革方案和《北京市人民政府关于机构设置的通知》（京政发〔2009〕2号），设立北京市交通委员会（简称市交通委）。,"

中文名

北京市交通委员会

组织性质

政府机构


地    址

北京市六里桥南里甲9号首发大厦B

简    称

北京市交通委

"
北京市发展和改革委员会,"
北京市发展和改革委员会
","北京市发展和改革委员会主要负责北京市国民经济和社会发展统筹协调、经济体制改革综合协调的市政府组成部门。
[2] 
","

中文名

北京市发展和改革委员会

外文名

Beijing Municipal Commission of Development and Reform

办公地址

北京市通州区运河东大街55号院
[1] 

简    称

北京市发改委

机关行政编制

265名


所属单位

北京市人民政府

内设机构

26个

机构设置

办公室，研究室

邮政编码

100031
[1] 

主    任

穆鹏

"
北京市通信管理局,,北京市通信管理局是北京市行政区域内通信行业的主管部门，实行工业和信息化部与北京市政府双重领导，以工业和信息化部为主的管理体制。,"

中文名

北京市通信管理局

所属地区

北京市


管理范围

通信管理

属    性

政府机关

"
北京市人力资源和社会保障局,"
北京市人力资源和社会保障局
","北京市人力资源和社会保障局是北京市人民政府组成部门，为正局级。
[2] 
","

中文名

北京市人力资源和社会保障局

外文名

Beijing Municipal Human Resources and Social Security Bureau

成立时间

2009年2月
[6] 


办公地址

北京市西城区永定门西街5号

性    质

党政机关

行政级别

正局级
[2] 

"
北京海关,"
中华人民共和国北京海关
",北京海关是中华人民共和国海关总署正厅局级直属海关。它前身为总税务司署成立的“总税务司署驻北平办事处”，由总税务司署中文秘书白理查负责办事处工作。,"

中文名

北京海关

外文名

Beijing Customs

成立时间

1951年1月1日

所属部门

中华人民共和国海关总署


现任关长

高玉潮
[2] 

行政职能

进出口管理

办公地点

北京市朝阳区光华路甲10号

地    址

北京市朝阳区光华路甲10号

"
北京市经济和信息化局,"
北京市经济和信息化局
","北京市经济和信息化局（简称市经济和信息化局）是市政府组成部门，为正局级，加挂北京市无线电管理局（简称市无线电局）、北京市大数据管理局（简称市大数据局）、北京市国防科学技术工业办公室（简称市国防科工办）牌子。
[1] 
","

中文名

北京市经济和信息化局

外文名

Beijing Bureau of economy and information technology

成立时间

2018年11月8日


办公地址

北京市通州区运河东大街57号院5号楼　　
[2] 

隶属机构

北京市人民政府

局    长

张劲松
[9] 

"
国家税务总局,,"国家税务总局（State Taxation Administration of The People's Republic of China），为中华人民共和国国务院主管税收工作的直属机构，正部级。
[1-2] 
","

中文名

国家税务总局

外文名

State Taxation Administration of The People's Republic of China
[4] 


职    能

主管税收工作

机关隶属

中华人民共和国国务院

官    网

http://www.chinatax.gov.cn/

"
北京市商务局,,北京市商务局（简称市商务局）是市政府组成部门，为正局级，加挂北京市人民政府口岸办公室（简称市政府口岸办）牌子。,"

中文名

北京市商务局

外文名

Beijing Municipal Commerce Bureau

成立时间

2018年11月
[1] 


办公地址

北京市通州区运河东大街57号院5号楼

性    质

政府机构

行政级别

正局级
[3] 

"
天津海关,,天津海关，是监管进出口贸易的政府部门。历史悠久，始建于1861年。1860年第二次鸦片战争后，清政府被迫与英、法两国签订《北京条约》，规定了“三口通商”。天津被辟为“三口通商”的口岸之一。第二年，清政府在天津设立津海关。,"

公司名称

天津海关

外文名

Tianjin Customs

成立时间

1861年

总部地点

天津市和平区营口道2号
[1] 


经营范围

进出口

公司类型

政府部门

公司口号

忠诚公正，兴关强国

员工数

2000（2014）

始建于

1861年

"
中国银行保险监督管理委员会北京监管局,"
中国银行保险监督管理委员会北京监管局
","中国银行保险监督管理委员会北京监管局是中国银行保险监督管理委员会派出机构。
[1] 
","

中文名

中国银行保险监督管理委员会北京监管局

成立时间

2018年12月17日


办公地址

北京市西城区金融大街20号交通银行大厦B座
[5] 

性    质

派出机构

"
国家发展和改革委员会,"
中华人民共和国国家发展和改革委员会
",中华人民共和国国家发展和改革委员会（National Development and Reform Commission） [1]  ，简称国家发展改革委，是国务院组成部门，为正部级 [2]  。,"

中文名

中华人民共和国国家发展和改革委员会
[1] 

外文名

National Development and Reform Commission


成    立

1952年（原国家计划委员会成立）

官    网

http://www.ndrc.gov.cn/

"
,,,
北京市公安局公安交通管理局,"
北京市公安局公安交通管理局
",北京市公安局公安交通管理局（简称北京市交管局），是市公安局主管全市道路交通安全管理的职能部门。在市公安局的领导下进行工作。,"

中文名

北京市公安局公安交通管理局

外文名

Beijing Traffic Management Bureau

办公地址

北京市西城区阜成门北大街1号


主管单位

北京市公安局

简    称

北京市交管局
[5] 

职    能

主管全市道路交通安全管理

"
