交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	一、高度重视优化营商环境
一、高度重视优化营商环境	描述性措施	各级交通运输主管部门要高度重视优化营商环境工作，查找公路养护工程招标投标活动中存在的各类不合理限制和市场壁垒，深入分析原因，通过健全制度、完善机制、强化监督等措施，扎实推进公路养护市场化水平，规范公路养护工程招标投标行为，优化养护工程项目管理，推动公路养护高质量发展
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	二、进一步规范公路养护工程招标投标活动
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(一)促进公路养护市场公平竞争
(一)促进公路养护市场公平竞争	描述性措施	地方各级交通运输主管部门要督促招标人严格按照《中华人民共和国招标投标法》《中华人民共和国政府采购法》等相关法律法规的要求，有序开展公路养护工程招标投标活动，严禁尚不具备法定招标条件的项目开展招标投标
(一)促进公路养护市场公平竞争	描述性措施	各级交通运输主管部门要按照《优化营商环境条例》、《工程项目招投标领域营商环境专项整治工作方案》(发改办法规〔2019〕862号)和《财政部关于促进政府采购公平竞争优化营商环境的通知》(财库〔2019〕38号)要求，依法纠正非法限制、排斥潜在投标人等现象，确保各类市场主体平等参与招标投标活动
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(二)简化招标投标流程和证明材料
(二)简化招标投标流程和证明材料	描述性措施	要合理缩短招标投标周期，便利投标人投标，对于施工技术方案简单、工期较短且季节性较强的公路养护工程项目，可进一步缩短投标截止期限
(二)简化招标投标流程和证明材料	描述性措施	要进一步简化投标文件的格式和形式要求，
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(三)全面实施招标投标信息公开
(三)全面实施招标投标信息公开	描述性措施	地方各级交通运输主管部门要督促招标人根据公路养护工程项目的具体性质和预算安排，通过发布招标公告的法定媒介和招标监督管理机构网站，按照年度或分阶段或逐个项目提前公布招标计划，并根据项目进展情况进行动态更新，供潜在投标人知悉和进行投标准备
(三)全面实施招标投标信息公开	描述性措施	要增加招投标活动透明度，全面公开招标文件的关键内容(投标人资格条件全文和评标办法全文)、中标候选人关键信息、否决投标信息、投诉处理决定、招投标当事人不良行为等信息
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(四)合理划分标段
(四)合理划分标段	描述性措施	鼓励开展公路技术状况评定、设计咨询、养护施工及质量控制一体化招标，增强市场竞争力度，提高养护资金使用效率
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(五)合理分担合同风险
(五)合理分担合同风险	描述性措施	地方各级交通运输主管部门要督促招标人在招标文件中合理划分合同双方风险，
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(六)规范保证金收取和退还
(六)规范保证金收取和退还	描述性措施	地方各级交通运输主管部门要督促招标人严格依法规范各类保证金的收取，
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(七)畅通异议和投诉处理渠道
(七)畅通异议和投诉处理渠道	描述性措施	各级交通运输主管部门要依法及时对投标人提出的投诉进行处理，并公告投诉处理结果
交通运输部关于做好公路养护工程招标投标工作进一步推动优化营商环境政策落实的通知	概括性措施	(八)加速推进电子招标投标
